algorithm,task,matrix_size,tile_size,frequency,papi_l3_tcm,papi_tot_ins,papi_res_stl,papi_tot_cyc,papi_br_msp,weight,l3_cache_size
invert,gemm,20480,2048,2801000,2484211215,548449871217,41534753908,180810894477,5456608,285,23068672
invert,getri,20480,2048,2801000,111091781,16707110168,8272465798,12892690892,2477705,10,23068672
invert,getrf,20480,2048,1200000,89553698,9850116307,2667328520,5582215577,1265841,10,23068672
invert,trsm,20480,2048,1200000,154302019,53175586076,6704416250,21031464901,6817459,45,23068672
invert,gemm,20480,2048,1200000,2489332549,548449894260,30285155961,169006907671,5483224,285,23068672
invert,getri,20480,2048,1200000,117371758,16707110776,4186351802,8794010843,2367658,10,23068672
invert,getrf,24576,512,2801000,12200308,1449562801,864668351,1341941454,669267,48,23068672
invert,trsm,24576,512,2801000,106018490,31358561482,8187928831,17511725361,10445931,1128,23068672
invert,gemm,24576,512,2801000,6948626788,1100893958747,135697010692,417299824098,19808511,35720,23068672
invert,getri,24576,512,2801000,10392194,2262235709,1088368480,1758589713,917430,48,23068672
invert,getrf,24576,512,1200000,12591277,1449562917,386940248,860114960,668306,48,23068672
invert,trsm,24576,512,1200000,108985039,31358566167,7091609340,16389353657,10471548,1128,23068672
invert,gemm,24576,512,1200000,7447916872,1100894002769,85797095541,366734051410,19888248,35720,23068672
invert,getri,24576,512,1200000,10527506,2262235609,538263540,1201033396,881688,48,23068672
invert,getrf,24576,1024,2801000,33587708,3968106873,2325225744,3547680945,965755,24,23068672
invert,trsm,24576,1024,2801000,152607156,48152765953,9743881698,23353173105,10384105,276,23068672
invert,gemm,24576,1024,2801000,5591909654,1048113662363,94551026057,361788281352,61115917,4324,23068672
invert,getri,24576,1024,2801000,28086405,6231007342,3111463516,4875675516,1716196,24,23068672
invert,getrf,24576,1024,1200000,34096510,3968107104,1035283759,2252642435,962755,24,23068672
invert,trsm,24576,1024,1200000,161316139,48152766830,8409761609,21988403408,10276131,276,23068672
invert,gemm,24576,1024,1200000,6045483356,1048113694210,65877510386,332220649653,59898421,4324,23068672
invert,getri,24576,1024,1200000,28079123,6231007650,1550384654,3302275829,1599134,24,23068672
invert,getrf,24576,2048,2801000,111486619,11820485154,7890082068,11386463952,1501256,12,23068672
invert,trsm,24576,2048,2801000,261127253,77990853666,11288444250,32692316412,18315275,66,23068672
invert,gemm,24576,2048,2801000,4927429168,973739068803,75127029640,322260205986,9651935,506,23068672
invert,getri,24576,2048,2801000,137375766,20048581820,10353993586,15912635670,3500121,12,23068672
invert,getrf,24576,2048,1200000,111726378,11820485826,3327446025,6824275668,1499882,12,23068672
invert,trsm,24576,2048,1200000,276520109,77990858524,9825552626,30913694784,9845409,66,23068672
invert,gemm,24576,2048,1200000,5330833256,973739110525,55184339655,301508579144,9785176,506,23068672
invert,getri,24576,2048,1200000,142020506,20048583111,5115408296,10662037169,3432399,12,23068672
invert,getrf,28672,512,2801000,13570309,1570408488,948806369,1465061523,726426,56,23068672
invert,trsm,28672,512,2801000,132691663,42812220194,10865971761,23576551471,14231041,1540,23068672
invert,gemm,28672,512,2801000,10214543658,1756129248852,210770374179,660292384171,30324361,56980,23068672
invert,getri,28672,512,2801000,10610167,2450890339,1168826826,1893179739,1077667,56,23068672
invert,getrf,28672,512,1200000,13334027,1570408797,419662853,931197975,723434,56,23068672
invert,trsm,28672,512,1200000,135497806,42812226317,9491300135,22180373962,14150715,1540,23068672
invert,gemm,28672,512,1200000,10795330234,1756129339670,132495866845,580777758678,31744005,56980,23068672
invert,getri,28672,512,1200000,10744095,2450893244,582121418,1299902894,964641,56,23068672
invert,getrf,28672,1024,2801000,36579155,4629487518,2518037270,3942925356,1123628,28,23068672
invert,trsm,28672,1024,2801000,192216797,65948352995,13047198192,31676291674,14034803,378,23068672
invert,gemm,28672,1024,2801000,7490695728,1679793633704,146703831017,575021402465,96237235,6930,23068672
invert,getri,28672,1024,2801000,29742694,7269534790,3427732061,5482530455,1774677,28,23068672
invert,getrf,28672,1024,1200000,37286363,4629487801,1152127032,2570410752,1134195,28,23068672
invert,trsm,28672,1024,1200000,198667243,65948353687,11779611814,30193292765,14126062,378,23068672
invert,gemm,28672,1024,1200000,7616701488,1679793703832,101795266275,528693896699,96919955,6930,23068672
invert,getri,28672,1024,1200000,29864545,7269535237,1749948403,3792035703,1738839,28,23068672
invert,getrf,28672,2048,2801000,122714215,13789874967,8796645653,12876810323,1865401,14,23068672
invert,trsm,28672,2048,2801000,330679150,107532844540,15693093647,44769138747,13688956,91,23068672
invert,gemm,28672,2048,2801000,7313745145,1576071732759,120076308395,520353253496,15686391,819,23068672
invert,getri,28672,2048,2801000,150992782,23389946264,11620319540,18073204808,3375281,14,23068672
invert,getrf,28672,2048,1200000,124452158,13789875764,3775882064,7855702078,1755039,14,23068672
invert,trsm,28672,2048,1200000,332306611,107532850253,13393156473,42454741489,13745654,91,23068672
invert,gemm,28672,2048,1200000,7177709319,1576071800292,86103218604,484786643656,15639289,819,23068672
invert,getri,28672,2048,1200000,160652516,23389948080,5897926362,12344061716,3235698,14,23068672
