algorithm,matrix_size,tile_size,threads,case,PKG1,PKG2,DRAM1,DRAM2,time
dcesca,24576,1024,32,6,53694931,52196277,10625926,4092934,0.561700
dcesca,24576,1024,32,7,48667112,43690684,10610320,3197960,0.541600
dcesca,24576,1024,32,8,51650258,45113471,10791717,2877732,0.575600
dcesca,24576,1024,32,9,60155425,56636086,9739169,3325485,0.511400
dcesca,24576,1024,32,10,70038029,65030778,10414832,3874649,0.530000
dcesca,24576,1024,32,11,65125260,60557889,10545372,3973227,0.540800
dcesca,24576,1024,32,12,62500206,58513339,10307197,3969356,0.542900
dcesca,24576,1024,32,13,62077599,57184607,10582720,3984594,0.542900
dcesca,24576,1024,32,14,54360456,52671496,10520050,4035972,0.549500
dcesca,24576,1024,32,15,51375051,46326115,10767498,3431943,0.564500
dcesca,24576,1024,32,16,50755852,45084174,10808394,2866210,0.575800
dcesca,24576,1024,32,17,49979730,46231266,10294039,3371508,0.540000
dcesca,24576,1024,32,18,48295897,44581002,10191498,2728984,0.545200
dcesca,24576,1024,32,19,45983464,41027360,10181951,2711222,0.539200
dcesca,24576,1024,32,20,46224614,41352128,10388165,2792434,0.559700
dcesca,24576,1024,32,21,46205692,40628864,10569730,2822101,0.562200
dcesca,24576,1024,32,22,46297733,40698748,10746919,2890124,0.579000
dcesca,24576,1024,32,23,42101821,35850982,10610367,2705285,0.541900
dcesca,24576,1024,32,24,44493904,38082178,10781390,2919210,0.583500
dcesca,24576,1024,32,25,48682676,45663884,10176352,2685946,0.536400
dcesca,24576,1024,32,26,48056030,44355111,10268381,2771320,0.551700
dcesca,24576,1024,32,27,45078864,40246845,10012289,2650786,0.538200
dcesca,24576,1024,32,28,46733523,41995437,10551462,2848095,0.569000
dcesca,24576,1024,32,29,44315133,38633201,10469714,2698293,0.536400
dcesca,24576,1024,32,30,44718208,38794334,10540292,2779597,0.545100
dcesca,24576,1024,32,31,42801160,36431730,10582077,2782473,0.550300
dcesca,24576,1024,32,32,42556349,36233122,10555638,2827134,0.554100
dcesca,24576,1024,32,33,53796859,51975087,9937931,2649103,0.526400
dcesca,24576,1024,32,34,56213968,53222703,10103493,3101646,0.523200
dcesca,24576,1024,32,35,60121245,56820533,9955266,3652187,0.504500
dcesca,24576,1024,32,36,61492397,57593053,10505102,4070902,0.562100
dcesca,24576,1024,32,37,54587507,52200000,10463991,3881151,0.531700
dcesca,24576,1024,32,38,53172349,51417410,10444622,3923517,0.540600
dcesca,24576,1024,32,39,47874817,42725354,10449731,3067971,0.531400
dcesca,24576,1024,32,40,48565427,43579478,10600589,2747498,0.546200
