algorithm,matrix_size,tile_size,threads,case,PKG1,PKG2,DRAM1,DRAM2,time
dgram,20480,2048,32,40,18574659,17577531,3674188,1396003,0.193200
dgram,20480,2048,32,41,19542736,17571061,3719720,1387985,0.191600
dgram,20480,2048,32,42,17124712,15151023,3721817,971504,0.192500
dgram,20480,2048,32,43,16433430,14410242,3600885,928557,0.186700
dgram,20480,2048,32,44,16490498,14918297,3663630,948202,0.190300
dgram,20480,2048,32,45,15367087,13186490,3695699,979965,0.198500
dgram,20480,2048,32,46,15318870,12969022,3724066,975895,0.196100
dgram,20480,2048,32,47,14974266,12947965,3687606,979598,0.195800
dgram,20480,2048,32,48,15332053,13108426,3687223,1010443,0.201500
dgram,20480,2048,32,49,17971267,16613422,3575748,922192,0.182400
dgram,20480,2048,32,50,21558722,19808848,3492486,1291274,0.177700
dgram,20480,2048,32,51,22457645,21394232,3558643,1334359,0.183600
dgram,20480,2048,32,52,22656558,21479864,3647229,1348634,0.185400
dgram,20480,2048,32,53,19166088,17830582,3753916,1479924,0.203900
dgram,20480,2048,32,54,19859202,17882096,3736872,1497686,0.207600
dgram,20480,2048,32,55,18874830,17540116,3734730,1458763,0.200500
dgram,20480,2048,32,56,18581129,17448808,3706425,1394212,0.191200
dgram,20480,2048,32,57,18747205,17070574,3550824,1345911,0.183600
dgram,20480,2048,32,58,16263203,14265832,3501512,905470,0.181900
dgram,20480,2048,32,59,16765277,14798912,3713479,963961,0.192400
dgram,20480,2048,32,60,16509846,14613854,3667288,940660,0.188900
dgram,20480,2048,32,61,15442100,13298550,3758522,1002165,0.201300
dgram,20480,2048,32,62,15120567,13055508,3704130,981174,0.197300
dgram,20480,2048,32,63,15426108,13196011,3744384,1009968,0.202200
dgram,20480,2048,32,64,15833334,13627895,3849602,1056694,0.209700
