algorithm,task,matrix_size,tile_size,mem_boundness,arithm_intensity,bmr,ilp,l3_cache_ratio,case,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,potrf,32768,1024,0.299117,0.002433,0.002631,2.584429,0.342987,8,1893148270.6666667,1692005108.3333333,331012975.6666667,152620305.0,14.8007
cholesky,potrf,32768,1024,0.299117,0.002433,0.002631,2.584429,0.342987,9,1887771921.0,1688346549.0,328103629.3333333,151288542.0,14.683366666666666
cholesky,potrf,32768,1024,0.299117,0.002433,0.002631,2.584429,0.342987,10,1903128754.3333333,1695192580.3333333,329131524.3333333,152872714.33333334,14.747833333333332
cholesky,potrf,32768,1024,0.299117,0.002433,0.002631,2.584429,0.342987,11,1892479571.0,1697226103.3333333,330522728.0,152257231.0,14.7992
cholesky,potrf,32768,1024,0.299117,0.002433,0.002631,2.584429,0.342987,12,1891293437.6666667,1687765129.3333333,329081223.3333333,152191181.0,14.735433333333331
cholesky,potrf,32768,1024,0.299117,0.002433,0.002631,2.584429,0.342987,13,1891629902.6666667,1694109636.6666667,328885107.6666667,151434565.33333334,14.7184
cholesky,potrf,32768,1024,0.299117,0.002433,0.002631,2.584429,0.342987,14,1900189003.6666667,1703085199.0,329716045.6666667,152045004.33333334,14.753366666666668
cholesky,potrf,32768,1024,0.299117,0.002433,0.002631,2.584429,0.342987,15,1889459579.3333333,1687264764.0,329242347.0,152393763.0,14.743633333333332
cholesky,potrf,32768,1024,0.299117,0.002433,0.002631,2.584429,0.342987,16,1897703210.6666667,1706096828.6666667,329345454.0,151414487.0,14.7354
cholesky,trsm,32768,1024,0.313751,0.001418,0.002475,2.527888,7.353044,1,1889859379.0,1683492577.3333333,329846656.6666667,151903326.66666666,14.757966666666666
cholesky,trsm,32768,1024,0.313751,0.001418,0.002475,2.527888,7.353044,2,1891282145.6666667,1691509646.6666667,330583122.0,151562565.0,14.787633333333332
cholesky,trsm,32768,1024,0.313751,0.001418,0.002475,2.527888,7.353044,3,1881172165.6666667,1684277446.3333333,330283976.3333333,151717018.33333334,14.7658
cholesky,trsm,32768,1024,0.313751,0.001418,0.002475,2.527888,7.353044,4,1877947239.3333333,1681487700.0,329034471.3333333,152186121.66666666,14.722666666666669
cholesky,trsm,32768,1024,0.313751,0.001418,0.002475,2.527888,7.353044,5,1899320414.6666667,1690127000.6666667,330014365.0,152933393.66666666,14.777833333333334
cholesky,trsm,32768,1024,0.313751,0.001418,0.002475,2.527888,7.353044,6,1912251615.3333333,1705267770.0,332561804.6666667,152362928.0,14.869566666666666
cholesky,trsm,32768,1024,0.313751,0.001418,0.002475,2.527888,7.353044,7,1896119495.0,1688085909.0,330267013.6666667,152519111.0,14.7831
cholesky,trsm,32768,1024,0.313751,0.001418,0.002475,2.527888,7.353044,8,1893148270.6666667,1692005108.3333333,331012975.6666667,152620305.0,14.8007
cholesky,trsm,32768,1024,0.313751,0.001418,0.002475,2.527888,7.353044,9,1887771921.0,1688346549.0,328103629.3333333,151288542.0,14.683366666666666
cholesky,trsm,32768,1024,0.313751,0.001418,0.002475,2.527888,7.353044,10,1903128754.3333333,1695192580.3333333,329131524.3333333,152872714.33333334,14.747833333333332
cholesky,trsm,32768,1024,0.313751,0.001418,0.002475,2.527888,7.353044,11,1892479571.0,1697226103.3333333,330522728.0,152257231.0,14.7992
cholesky,trsm,32768,1024,0.313751,0.001418,0.002475,2.527888,7.353044,12,1891293437.6666667,1687765129.3333333,329081223.3333333,152191181.0,14.735433333333331
cholesky,trsm,32768,1024,0.313751,0.001418,0.002475,2.527888,7.353044,13,1891629902.6666667,1694109636.6666667,328885107.6666667,151434565.33333334,14.7184
cholesky,trsm,32768,1024,0.313751,0.001418,0.002475,2.527888,7.353044,14,1900189003.6666667,1703085199.0,329716045.6666667,152045004.33333334,14.753366666666668
cholesky,trsm,32768,1024,0.313751,0.001418,0.002475,2.527888,7.353044,15,1889459579.3333333,1687264764.0,329242347.0,152393763.0,14.743633333333332
cholesky,trsm,32768,1024,0.313751,0.001418,0.002475,2.527888,7.353044,16,1897703210.6666667,1706096828.6666667,329345454.0,151414487.0,14.7354
cholesky,syrk,32768,1024,0.254952,0.003763,0.007006,2.908096,10.682884,1,1889859379.0,1683492577.3333333,329846656.6666667,151903326.66666666,14.757966666666666
cholesky,syrk,32768,1024,0.254952,0.003763,0.007006,2.908096,10.682884,2,1891282145.6666667,1691509646.6666667,330583122.0,151562565.0,14.787633333333332
cholesky,syrk,32768,1024,0.254952,0.003763,0.007006,2.908096,10.682884,3,1881172165.6666667,1684277446.3333333,330283976.3333333,151717018.33333334,14.7658
cholesky,syrk,32768,1024,0.254952,0.003763,0.007006,2.908096,10.682884,4,1877947239.3333333,1681487700.0,329034471.3333333,152186121.66666666,14.722666666666669
cholesky,syrk,32768,1024,0.254952,0.003763,0.007006,2.908096,10.682884,5,1899320414.6666667,1690127000.6666667,330014365.0,152933393.66666666,14.777833333333334
cholesky,syrk,32768,1024,0.254952,0.003763,0.007006,2.908096,10.682884,6,1912251615.3333333,1705267770.0,332561804.6666667,152362928.0,14.869566666666666
cholesky,syrk,32768,1024,0.254952,0.003763,0.007006,2.908096,10.682884,7,1896119495.0,1688085909.0,330267013.6666667,152519111.0,14.7831
cholesky,syrk,32768,1024,0.254952,0.003763,0.007006,2.908096,10.682884,8,1893148270.6666667,1692005108.3333333,331012975.6666667,152620305.0,14.8007
cholesky,syrk,32768,1024,0.254952,0.003763,0.007006,2.908096,10.682884,9,1887771921.0,1688346549.0,328103629.3333333,151288542.0,14.683366666666666
cholesky,syrk,32768,1024,0.254952,0.003763,0.007006,2.908096,10.682884,10,1903128754.3333333,1695192580.3333333,329131524.3333333,152872714.33333334,14.747833333333332
cholesky,syrk,32768,1024,0.254952,0.003763,0.007006,2.908096,10.682884,11,1892479571.0,1697226103.3333333,330522728.0,152257231.0,14.7992
cholesky,syrk,32768,1024,0.254952,0.003763,0.007006,2.908096,10.682884,12,1891293437.6666667,1687765129.3333333,329081223.3333333,152191181.0,14.735433333333331
