algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_VEC_DP
invert,trsm,12288,256,37486592,4000000,1128,19953220,5262168547,3030403696,1470241476,453645455,41518547,49478027,2344196,2513292288
invert,getri,12288,256,37486592,4000000,48,1970466,488617397,257403171,114094760,30905096,4688556,4684162,171303,169112832
invert,getrf,12288,512,37486592,1000000,24,5250260,716024728,361104893,167093606,29864348,4445518,17513328,1635847,319025592
invert,gemm,12288,512,37486592,1000000,4324,673316211,133269092320,44688287153,10290733598,1095158079,892683966,1819482094,7631794,145656136592
invert,trsm,12288,512,37486592,1000000,276,21035791,7681013388,3974324101,1765770027,577975625,44932460,68393788,2108715,4779595776
invert,getri,12288,512,37486592,1000000,24,4731067,1130772192,612917646,285543809,64648652,12508478,30947811,1969770,594383616
invert,getrf,12288,512,37486592,4000000,24,5282352,716024042,458368038,263543338,29882897,4338838,17527152,1651203,319025592
invert,gemm,12288,512,37486592,4000000,4324,674933901,133269044432,47050712403,12616420064,1086469852,891664312,1799941585,9285975,145656136592
invert,trsm,12288,512,37486592,4000000,276,21319991,7681018053,4072307706,1868143196,577336698,41534934,65575937,3124716,4779595776
invert,getri,12288,512,37486592,4000000,24,4507166,1130773898,723183289,395593286,64363589,12210870,30340864,2127058,594383616
invert,getrf,12288,1024,37486592,1000000,12,12865481,1966251532,941370305,417802006,80224434,10740188,40726532,3190315,1175566812
invert,gemm,12288,1024,37486592,1000000,506,431161345,122652909033,38661751796,7436578596,545112397,501644628,1306137261,5022422,136226277352
invert,trsm,12288,1024,37486592,1000000,66,28798217,11522688353,5242709060,2055753044,627776808,50561374,96282401,1818441,9011819520
invert,getri,12288,1024,37486592,1000000,12,10524257,3110216723,1586822453,727703232,135069883,39558812,94717543,4731033,2240543616
invert,getrf,12288,1024,37486592,4000000,12,12749813,1966251073,1187531934,663291852,80252085,10569986,40657264,3215445,1175566812
invert,gemm,12288,1024,37486592,4000000,506,431982296,122652914574,40103400096,8845373790,541947110,498925190,1314232375,6382089,136226277352
invert,trsm,12288,1024,37486592,4000000,66,28589992,11522686487,5393052508,2207053458,629141186,47739868,94351181,2767484,9011819520
invert,getri,12288,1024,37486592,4000000,12,10531041,3110215868,1886094670,1027789960,134444505,38707638,96974141,5040530,2240543616
invert,getrf,12288,2048,37486592,1000000,6,36253812,5874012152,3011796440,1437467905,220917951,26683762,97942001,4207059,4505091054
invert,gemm,12288,2048,37486592,1000000,55,406793647,105842033205,32865194542,5998075553,466378144,318141934,1016603499,2127444,118457630940
invert,trsm,12288,2048,37486592,1000000,15,42991600,17732496392,7020524519,2285802388,621556082,58758914,139789687,1463428,16266270720
invert,getri,12288,2048,37486592,1000000,6,38170403,10008212343,5061474832,2354364468,347170478,141808380,259179784,7365858,8758340352
invert,getrf,12288,2048,37486592,4000000,6,37036670,5874011644,3617668533,2048540563,221049252,26510434,97505903,4296087,4505091054
invert,gemm,12288,2048,37486592,4000000,55,400874660,105842026774,33858001565,6955389380,480030723,318531197,1021205704,2519557,118457630940
invert,trsm,12288,2048,37486592,4000000,15,42132555,17732494899,7171230850,2435937216,621679259,56421740,137924931,2248998,16266270720
invert,getri,12288,2048,37486592,4000000,6,37625074,10008211430,5795542976,3091498090,349584588,139282086,250157350,8356544,8758340352
invert,getrf,14336,256,37486592,1000000,56,2948436,338249360,151053809,55789448,12228458,2440550,5484683,531339,107181144
invert,gemm,14336,256,37486592,1000000,56980,1847080214,226247001228,79951696461,21031564975,2281160979,2330407543,3208232741,29452258,239925230160
invert,trsm,14336,256,37486592,1000000,1540,26472874,7184141186,3969578053,1842957339,619449318,56337469,72432516,3052171,3431267840
invert,getri,14336,256,37486592,1000000,56,2641948,570061923,274395491,107361861,36183981,5443578,5572412,267969,197298304
invert,getrf,14336,256,37486592,4000000,56,2881945,338249091,182528132,87291434,12266724,2365958,5464911,535496,107181144
invert,gemm,14336,256,37486592,4000000,56980,1791478968,226248055857,85951716091,27041833982,2296904771,2310347376,3108326393,36563592,239925230160
invert,trsm,14336,256,37486592,4000000,1540,26258100,7184159324,4089022967,1967098105,617831590,54797734,69603809,3526600,3431267840
invert,getri,14336,256,37486592,4000000,56,2751888,570062123,308389527,140494879,36048799,5329894,5556474,267081,197298304
invert,getrf,14336,512,37486592,1000000,28,6639295,835338263,421164742,195100253,34809350,5270696,20493646,1920131,372196524
invert,gemm,14336,512,37486592,1000000,6930,1095864333,213588096943,70990316371,15930074396,1739390796,1397781334,2512794641,13254994,233440570440
invert,trsm,14336,512,37486592,1000000,378,26114170,10519658635,5411005149,2391270451,790681921,63885005,92783013,2966785,6545968128
invert,getri,14336,512,37486592,1000000,28,6132295,1319219803,721393419,338866559,75396308,14574488,36139651,2311250,693447552
invert,getrf,14336,512,37486592,4000000,28,7101716,835337983,544787148,317567992,34841883,5056146,20468763,1945306,372196524
invert,gemm,14336,512,37486592,4000000,6930,1084848439,213588024911,74384107978,19326876949,1720460660,1386729912,2458856186,15899632,233440570440
invert,trsm,14336,512,37486592,4000000,378,26453681,10519656733,5550612607,2530909900,791086828,56436304,89056682,4519597,6545968128
