algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_VEC_DP,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_TCR,PAPI_L3_TCW
lu,trsmswp,24576,2048,23068672,2801000,66,713736885,717000582,92290019807,46253264058,70896097057,719063541,92290018074,723850016,92290016783
lu,geswp,24576,2048,23068672,2801000,11,445639218,448291976,1738545530,32766489877,33576758744,449829239,1738545669,445978575,1738545653
lu,getrfpiv,28672,512,23068672,1200000,56,464742013,464888743,31558084535,6472059482,15105848327,465316457,31558086230,464804313,31558086333
lu,gemm,28672,512,23068672,1200000,56980,6085393845,6044820200,1756164741866,127643983266,576843398589,6053137495,1756166933069,6089653947,1756166873880
lu,trsmswp,28672,512,23068672,1200000,1540,731442126,732854807,64242973088,24639871171,42631555208,733642499,64242978128,735842161,64242990874
lu,geswp,28672,512,23068672,1200000,55,289290120,286332899,2580555123,11886087176,12911816527,290322751,2580556107,297563120,2580556168
lu,getrfpiv,28672,512,23068672,2801000,56,460472501,460547806,31558085247,10659415985,19280870398,460552543,31558084113,459310661,31558083868
lu,gemm,28672,512,23068672,2801000,56980,5925642994,5912711325,1756167447260,144456553555,593602797183,6025695384,1756166713831,5890948095,1756166738346
lu,trsmswp,28672,512,23068672,2801000,1540,728552040,726388199,64242984927,53373158269,71470731834,729604173,64242983605,733095488,64242940767
lu,geswp,28672,512,23068672,2801000,55,286939714,286170518,2580555960,25746602115,26860715760,284842702,2580555214,296653295,2580555100
lu,getrfpiv,28672,1024,23068672,1200000,28,587122928,590163740,56227917971,8015626146,22865798862,587986514,56227917623,587528141,56227917544
lu,gemm,28672,1024,23068672,1200000,6930,4691381539,4726738725,1679811585110,96380572686,523607269005,4711166024,1679811478783,4706176239,1679811461707
lu,trsmswp,28672,1024,23068672,1200000,378,754036808,756223470,86609397512,27518839799,51274033343,752572505,86609405595,759331154,86609416792
lu,geswp,28672,1024,23068672,1200000,27,448442342,445930501,2504611772,14403230937,15497978700,444421925,2504611765,452860459,2504611671
lu,getrfpiv,28672,1024,23068672,2801000,28,581323175,582950583,56227914919,12423296895,27269864158,581374855,56227914502,580260783,56227914464
lu,gemm,28672,1024,23068672,2801000,6930,4701431462,4502859299,1679811481840,108423323922,535715708204,4707929095,1679811415921,4683924997,1679811268693
lu,trsmswp,28672,1024,23068672,2801000,378,741378349,754630588,86609414653,59901103143,83640668470,744658591,86609404085,743903403,86609386788
lu,geswp,28672,1024,23068672,2801000,27,441226506,442054064,2504611637,37695994006,38829352021,439027833,2504610395,440965102,2504611157
lu,getrfpiv,28672,2048,23068672,1200000,14,703514046,696983414,105830275834,10983414910,38778820007,699471333,105830275302,700608361,105830275636
lu,gemm,28672,2048,23068672,1200000,819,5265556192,5241062059,1576084042469,84932376706,483883699061,5257449712,1576084023209,5278928884,1576084041644
lu,trsmswp,28672,2048,23068672,1200000,91,1013036821,1023780114,127248453233,30257553719,64163018547,1016214147,127248453575,1019263846,127248448781
lu,geswp,28672,2048,23068672,1200000,13,638945768,641327478,2397863752,15803738045,16857932757,643221804,2397863443,643360792,2397863612
lu,getrfpiv,28672,2048,23068672,2801000,14,697190701,693584198,105830270335,15579095105,43635805733,695443099,105830270713,694872780,105830270351
lu,gemm,28672,2048,23068672,2801000,819,5226563786,5188534338,1576083984550,94702613544,494083177782,5194120438,1576083973689,5227644189,1576083969574
lu,trsmswp,28672,2048,23068672,2801000,91,994689547,997186542,127248444801,63865374505,97833460564,997561270,127248442932,1004219146,127248442482
lu,geswp,28672,2048,23068672,2801000,13,631851283,633071872,2397863488,45909163819,47028143253,630750165,2397863356,631771483,2397862897
