algorithm,task,matrix_size,tile_size,mem_boundness,arithm_intensity,bmr,ilp,l3_cache_ratio,case,PKG1,PKG2,DRAM1,DRAM2,time
qr,ormqr,16384,2048,0.576453,0.005717,0.003421,1.656155,20.411104,11,16458225506,15004204875,2533076813,915871372,121.924
qr,ormqr,16384,2048,0.576453,0.005717,0.003421,1.656155,20.411104,12,16477439568,14890405850,2511870706,924008234,121.395
qr,ormqr,16384,2048,0.576453,0.005717,0.003421,1.656155,20.411104,13,16444921463,15123641826,2502135195,925933417,121.887
qr,ormqr,16384,2048,0.576453,0.005717,0.003421,1.656155,20.411104,14,16540363602,14939140101,2539610310,897238221,121.772
qr,ormqr,16384,2048,0.576453,0.005717,0.003421,1.656155,20.411104,15,17491806478,15979954574,2661098461,995924951,129.293
qr,ormqr,16384,2048,0.576453,0.005717,0.003421,1.656155,20.411104,16,16295776093,14880097160,2493997736,912957181,120.589
qr,tsqrt,16384,2048,0.847991,0.11521,0.003371,0.262916,898.820331,1,16312973498,15155942707,2533528759,912289336,122.953
qr,tsqrt,16384,2048,0.847991,0.11521,0.003371,0.262916,898.820331,2,16433841963,15027153730,2516576039,910337821,121.836
qr,tsqrt,16384,2048,0.847991,0.11521,0.003371,0.262916,898.820331,3,16707669509,15409094891,2553840994,932107886,124.196
qr,tsqrt,16384,2048,0.847991,0.11521,0.003371,0.262916,898.820331,4,15890347809,14626006197,2438852467,897767051,117.977
qr,tsqrt,16384,2048,0.847991,0.11521,0.003371,0.262916,898.820331,5,17314287462,15892659204,2636392434,962650219,128.404
qr,tsqrt,16384,2048,0.847991,0.11521,0.003371,0.262916,898.820331,6,17044894292,15433102886,2600158132,980795468,125.706
qr,tsqrt,16384,2048,0.847991,0.11521,0.003371,0.262916,898.820331,7,16626044351,15322061056,2548026887,946392057,123.77
qr,tsqrt,16384,2048,0.847991,0.11521,0.003371,0.262916,898.820331,8,15965450340,14615402282,2464507063,893902362,118.654
qr,tsqrt,16384,2048,0.847991,0.11521,0.003371,0.262916,898.820331,9,16660585401,15216635972,2574687656,950764139,123.754
qr,tsqrt,16384,2048,0.847991,0.11521,0.003371,0.262916,898.820331,10,17757444104,16237032713,2707906425,993515812,131.594
qr,tsqrt,16384,2048,0.847991,0.11521,0.003371,0.262916,898.820331,11,16458225506,15004204875,2533076813,915871372,121.924
qr,tsqrt,16384,2048,0.847991,0.11521,0.003371,0.262916,898.820331,12,16477439568,14890405850,2511870706,924008234,121.395
qr,tsqrt,16384,2048,0.847991,0.11521,0.003371,0.262916,898.820331,13,16444921463,15123641826,2502135195,925933417,121.887
qr,tsqrt,16384,2048,0.847991,0.11521,0.003371,0.262916,898.820331,14,16540363602,14939140101,2539610310,897238221,121.772
qr,tsqrt,16384,2048,0.847991,0.11521,0.003371,0.262916,898.820331,15,17491806478,15979954574,2661098461,995924951,129.293
qr,tsqrt,16384,2048,0.847991,0.11521,0.003371,0.262916,898.820331,16,16295776093,14880097160,2493997736,912957181,120.589
qr,tsmqr,16384,2048,0.231911,0.003753,0.002183,3.02574,110.62941,1,16312973498,15155942707,2533528759,912289336,122.953
qr,tsmqr,16384,2048,0.231911,0.003753,0.002183,3.02574,110.62941,2,16433841963,15027153730,2516576039,910337821,121.836
qr,tsmqr,16384,2048,0.231911,0.003753,0.002183,3.02574,110.62941,3,16707669509,15409094891,2553840994,932107886,124.196
qr,tsmqr,16384,2048,0.231911,0.003753,0.002183,3.02574,110.62941,4,15890347809,14626006197,2438852467,897767051,117.977
qr,tsmqr,16384,2048,0.231911,0.003753,0.002183,3.02574,110.62941,5,17314287462,15892659204,2636392434,962650219,128.404
qr,tsmqr,16384,2048,0.231911,0.003753,0.002183,3.02574,110.62941,6,17044894292,15433102886,2600158132,980795468,125.706
qr,tsmqr,16384,2048,0.231911,0.003753,0.002183,3.02574,110.62941,7,16626044351,15322061056,2548026887,946392057,123.77
qr,tsmqr,16384,2048,0.231911,0.003753,0.002183,3.02574,110.62941,8,15965450340,14615402282,2464507063,893902362,118.654
qr,tsmqr,16384,2048,0.231911,0.003753,0.002183,3.02574,110.62941,9,16660585401,15216635972,2574687656,950764139,123.754
qr,tsmqr,16384,2048,0.231911,0.003753,0.002183,3.02574,110.62941,10,17757444104,16237032713,2707906425,993515812,131.594
qr,tsmqr,16384,2048,0.231911,0.003753,0.002183,3.02574,110.62941,11,16458225506,15004204875,2533076813,915871372,121.924
qr,tsmqr,16384,2048,0.231911,0.003753,0.002183,3.02574,110.62941,12,16477439568,14890405850,2511870706,924008234,121.395
qr,tsmqr,16384,2048,0.231911,0.003753,0.002183,3.02574,110.62941,13,16444921463,15123641826,2502135195,925933417,121.887
qr,tsmqr,16384,2048,0.231911,0.003753,0.002183,3.02574,110.62941,14,16540363602,14939140101,2539610310,897238221,121.772
qr,tsmqr,16384,2048,0.231911,0.003753,0.002183,3.02574,110.62941,15,17491806478,15979954574,2661098461,995924951,129.293
qr,tsmqr,16384,2048,0.231911,0.003753,0.002183,3.02574,110.62941,16,16295776093,14880097160,2493997736,912957181,120.589
qr,geqrt,32768,1024,0.717087,0.000746,0.004591,0.472412,0.624856,1,31041110720,27815131063,5558949290,2078178345,252.877
qr,geqrt,32768,1024,0.717087,0.000746,0.004591,0.472412,0.624856,2,30353070307,27349124139,5491658468,2108492510,248.869
qr,geqrt,32768,1024,0.717087,0.000746,0.004591,0.472412,0.624856,3,30675564903,27619247593,5512351274,2065963391,249.785
qr,geqrt,32768,1024,0.717087,0.000746,0.004591,0.472412,0.624856,4,30437420188,27500467135,5526884025,2108025846,251.694
qr,geqrt,32768,1024,0.717087,0.000746,0.004591,0.472412,0.624856,5,30427967087,27397165459,5483668379,2103737117,248.687
qr,geqrt,32768,1024,0.717087,0.000746,0.004591,0.472412,0.624856,6,30499908736,27448366866,5558498292,2077687460,252.202
qr,geqrt,32768,1024,0.717087,0.000746,0.004591,0.472412,0.624856,7,30438202962,27562050351,5524038714,2094852775,250.245
qr,geqrt,32768,1024,0.717087,0.000746,0.004591,0.472412,0.624856,8,30641372486,27534370063,5554526443,2076749631,251.666
qr,geqrt,32768,1024,0.717087,0.000746,0.004591,0.472412,0.624856,9,30771880148,27594150061,5531038954,2095604892,251.244
qr,geqrt,32768,1024,0.717087,0.000746,0.004591,0.472412,0.624856,10,30336438391,27367650825,5494048374,2104413989,249.154
qr,geqrt,32768,1024,0.717087,0.000746,0.004591,0.472412,0.624856,11,30948313106,27704258789,5536500916,2072002056,251.186
qr,geqrt,32768,1024,0.717087,0.000746,0.004591,0.472412,0.624856,12,30490150888,27588916127,5486079323,2105564764,248.776
qr,geqrt,32768,1024,0.717087,0.000746,0.004591,0.472412,0.624856,13,30658631414,27785458654,5550682349,2093445006,250.611
qr,geqrt,32768,1024,0.717087,0.000746,0.004591,0.472412,0.624856,14,30178949963,27361705771,5495206675,2077417966,248.684
qr,geqrt,32768,1024,0.717087,0.000746,0.004591,0.472412,0.624856,15,30598684973,27528037560,5517722477,2079251671,249.61
qr,geqrt,32768,1024,0.717087,0.000746,0.004591,0.472412,0.624856,16,30404990889,27423486742,5504325873,2107784197,249.046
qr,ormqr,32768,1024,0.49444,0.002614,0.004623,1.949257,21.28438,1,31041110720,27815131063,5558949290,2078178345,252.877
qr,ormqr,32768,1024,0.49444,0.002614,0.004623,1.949257,21.28438,2,30353070307,27349124139,5491658468,2108492510,248.869
qr,ormqr,32768,1024,0.49444,0.002614,0.004623,1.949257,21.28438,3,30675564903,27619247593,5512351274,2065963391,249.785
qr,ormqr,32768,1024,0.49444,0.002614,0.004623,1.949257,21.28438,4,30437420188,27500467135,5526884025,2108025846,251.694
qr,ormqr,32768,1024,0.49444,0.002614,0.004623,1.949257,21.28438,5,30427967087,27397165459,5483668379,2103737117,248.687
qr,ormqr,32768,1024,0.49444,0.002614,0.004623,1.949257,21.28438,6,30499908736,27448366866,5558498292,2077687460,252.202
qr,ormqr,32768,1024,0.49444,0.002614,0.004623,1.949257,21.28438,7,30438202962,27562050351,5524038714,2094852775,250.245
qr,ormqr,32768,1024,0.49444,0.002614,0.004623,1.949257,21.28438,8,30641372486,27534370063,5554526443,2076749631,251.666
qr,ormqr,32768,1024,0.49444,0.002614,0.004623,1.949257,21.28438,9,30771880148,27594150061,5531038954,2095604892,251.244
qr,ormqr,32768,1024,0.49444,0.002614,0.004623,1.949257,21.28438,10,30336438391,27367650825,5494048374,2104413989,249.154
