algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time,arithm_intensity_task1,arithm_intensity_task2,arithm_intensity_task3,arithm_intensity_task4,bmr_task1,bmr_task2,bmr_task3,bmr_task4,ilp_task1,ilp_task2,ilp_task3,ilp_task4,l3_cache_ratio_task1,l3_cache_ratio_task2,l3_cache_ratio_task3,l3_cache_ratio_task4,mem_boundness_task1,mem_boundness_task2,mem_boundness_task3,mem_boundness_task4
cholesky,16384,512,11,226446991.0,196598312.66666663,54354892.66666666,19207773.33333333,2.408103333333333,0.00297,0.001343,0.006029,0.003445,0.003187,0.002565,0.004545,0.002034,2.605393,2.389391,2.612256,3.017335,0.078301,1.294467,2.344086,23.512834,0.283921,0.337442,0.320541,0.227562
cholesky,16384,512,12,225004428.66666663,195267322.3333333,53849497.66666666,19217493.33333333,2.390003333333333,0.00297,0.001343,0.006029,0.003445,0.003187,0.002565,0.004545,0.002034,2.605393,2.389391,2.612256,3.017335,0.078301,1.294467,2.344086,23.512834,0.283921,0.337442,0.320541,0.227562
cholesky,16384,512,13,253975790.3333333,238045940.3333333,41699018.0,26158496.666666668,2.2655366666666668,0.00297,0.001343,0.006029,0.003445,0.003187,0.002565,0.004545,0.002034,2.605393,2.389391,2.612256,3.017335,0.078301,1.294467,2.344086,23.512834,0.283921,0.337442,0.320541,0.227562
cholesky,16384,512,14,262893268.66666663,231017353.0,50787712.333333336,18444099.0,2.2686966666666666,0.00297,0.001343,0.006029,0.003445,0.003187,0.002565,0.004545,0.002034,2.605393,2.389391,2.612256,3.017335,0.078301,1.294467,2.344086,23.512834,0.283921,0.337442,0.320541,0.227562
cholesky,16384,512,15,225913077.3333333,195047250.3333333,55230113.333333336,19170507.33333333,2.46322,0.00297,0.001343,0.006029,0.003445,0.003187,0.002565,0.004545,0.002034,2.605393,2.389391,2.612256,3.017335,0.078301,1.294467,2.344086,23.512834,0.283921,0.337442,0.320541,0.227562
cholesky,16384,512,16,222500874.66666663,192376359.0,54179972.333333336,19133165.33333333,2.4207633333333334,0.00297,0.001343,0.006029,0.003445,0.003187,0.002565,0.004545,0.002034,2.605393,2.389391,2.612256,3.017335,0.078301,1.294467,2.344086,23.512834,0.283921,0.337442,0.320541,0.227562
cholesky,16384,1024,1,239662798.0,218475108.3333333,43803971.333333336,19675667.666666668,1.9497566666666664,0.002392,0.001434,0.003776,0.002832,0.002609,0.002474,0.00684,0.007555,2.597479,2.524666,2.905679,3.15539,0.168616,1.79974,2.593576,16.916638,0.293426,0.314482,0.255636,0.197838
cholesky,16384,1024,2,239695879.0,224789362.0,37774348.66666666,25143877.666666668,1.98483,0.002392,0.001434,0.003776,0.002832,0.002609,0.002474,0.00684,0.007555,2.597479,2.524666,2.905679,3.15539,0.168616,1.79974,2.593576,16.916638,0.293426,0.314482,0.255636,0.197838
cholesky,16384,1024,3,198213929.3333333,180486924.3333333,45473212.0,19796644.33333333,2.0127900000000003,0.002392,0.001434,0.003776,0.002832,0.002609,0.002474,0.00684,0.007555,2.597479,2.524666,2.905679,3.15539,0.168616,1.79974,2.593576,16.916638,0.293426,0.314482,0.255636,0.197838
cholesky,16384,1024,4,190263225.66666663,181255558.0,37401324.333333336,25656682.33333333,1.9747066666666668,0.002392,0.001434,0.003776,0.002832,0.002609,0.002474,0.00684,0.007555,2.597479,2.524666,2.905679,3.15539,0.168616,1.79974,2.593576,16.916638,0.293426,0.314482,0.255636,0.197838
