algorithm,task,matrix_size,tile_size,frequency,papi_l3_tcm,papi_tot_ins,papi_res_stl,papi_tot_cyc,papi_br_msp,weight,l3_cache_size
cholesky,potrf,24576,2048,2801000,14586840,6602289940,795329207,2853962355,1022443,12,23068672
cholesky,trsm,24576,2048,2801000,204476964,90766224510,9371422644,36674558129,10153494,66,23068672
cholesky,syrk,24576,2048,2801000,219945421,65973398092,4845575790,21594284390,1861419,66,23068672
cholesky,gemm,24576,2048,2801000,1397881454,425117319551,24097143603,131689368714,4403164,220,23068672
cholesky,potrf,24576,2048,1200000,15201587,6602290353,682182234,2734438102,1021160,12,23068672
cholesky,trsm,24576,2048,1200000,207157789,90766230240,8184969822,35524303586,10162030,66,23068672
cholesky,syrk,24576,2048,1200000,226543688,65973400390,3383496440,20104482155,1846137,66,23068672
cholesky,gemm,24576,2048,1200000,1419827402,425117336594,18910803004,126264831696,4391947,220,23068672
cholesky,potrf,28672,512,2801000,3210687,942348625,107284371,447003660,308239,56,23068672
cholesky,trsm,28672,512,2801000,90805437,61884868104,8786470372,30773763706,14358975,1540,23068672
cholesky,syrk,28672,512,2801000,171299552,27228082648,3479848566,10549210435,2287995,1540,23068672
cholesky,gemm,28672,512,2801000,3076167846,868152696260,67737479725,289737279569,17382591,27720,23068672
cholesky,potrf,28672,512,1200000,3323725,942349102,75837016,414200117,321560,56,23068672
cholesky,trsm,28672,512,1200000,97441732,61884872596,7924362495,29929577341,14496493,1540,23068672
cholesky,syrk,28672,512,1200000,177243321,27228073285,2206889028,9272107815,2259175,1540,23068672
cholesky,gemm,28672,512,1200000,3159595653,868152719326,51403182593,273089863719,17476488,27720,23068672
cholesky,potrf,28672,1024,2801000,7206033,2590393276,300880881,1172517882,586705,28,23068672
cholesky,trsm,28672,1024,2801000,127526165,84379493619,10406318820,38040177779,14429404,378,23068672
cholesky,syrk,28672,1024,2801000,196757128,49285656059,4445596126,17051106755,4284386,378,23068672
cholesky,gemm,28672,1024,2801000,2248506014,800595487427,50710977357,254133681703,46098459,3276,23068672
cholesky,potrf,28672,1024,1200000,7129322,2590393415,239797119,1110835859,589498,28,23068672
cholesky,trsm,28672,1024,1200000,139012243,84379500170,9668134676,37203847937,14408639,378,23068672
cholesky,syrk,28672,1024,1200000,199380254,49285659355,2985463204,15585042271,4212261,378,23068672
cholesky,gemm,28672,1024,1200000,2445310296,800595521080,39578300705,242899823284,45949483,3276,23068672
cholesky,potrf,28672,2048,2801000,17136956,7702668780,930029229,3332193080,1188129,14,23068672
cholesky,trsm,28672,2048,2801000,285953058,125147370419,12767692374,50505828424,13944030,91,23068672
cholesky,syrk,28672,2048,2801000,306627020,90963320956,6685411711,29791149090,2578378,91,23068672
cholesky,gemm,28672,2048,2801000,2331996182,703375926877,39832872977,217916939134,7205118,364,23068672
cholesky,potrf,28672,2048,1200000,17593470,7702669282,785264159,3185451266,1191553,14,23068672
cholesky,trsm,28672,2048,1200000,286997918,125147377987,11254256266,48966469852,14011947,91,23068672
cholesky,syrk,28672,2048,1200000,312868712,90963325157,4660627079,27710661162,2519034,91,23068672
cholesky,gemm,28672,2048,1200000,2338462398,703375956913,31206795909,208809731689,7290900,364,23068672
